gameRefId,frameNum,period,periodGameClockTime,game_event_id,possession_event_id,game_event_type,team_name,home_team,home_ball,game_event_start_frame,game_event_end_frame,game_event_start_time,game_event_end_time,possession_event_type,possession_start_frame,possession_end_frame,possession_start_time
,160679,2,5040.473995,,,,,,,,,,,,,,
,160680,2,5040.507361,6630182.0,6511482.0,OTB,United States,0.0,False,160680.0,160680.0,5361.361,5361.361,PA,160680.0,,5361.361
,160681,2,5040.540728,,,,,,,,,,,,,,
,160682,2,5040.574095,,,,,,,,,,,,,,
,160683,2,5040.607461,,,,,,,,,,,,,,
,160684,2,5040.640828,,,,,,,,,,,,,,
,160685,2,5040.674195,,,,,,,,,,,,,,
,160686,2,5040.707562,,,,,,,,,,,,,,
,160687,2,5040.740928,,,,,,,,,,,,,,
,160688,2,5040.774295,,,,,,,,,,,,,,
,160689,2,5040.807662,,,,,,,,,,,,,,
,160690,2,5040.841028,,,,,,,,,,,,,,
,160691,2,5040.874395,,,,,,,,,,,,,,
,160692,2,5040.907762,,,,,,,,,,,,,,
,160693,2,5040.941128,,,,,,,,,,,,,,
,160694,2,5040.974495,,,,,,,,,,,,,,
,160695,2,5041.007862,,,,,,,,,,,,,,
,160696,2,5041.041229,,,,,,,,,,,,,,
,160697,2,5041.074595,,,,,,,,,,,,,,
,160698,2,5041.107962,,,,,,,,,,,,,,
,160699,2,5041.141329,,,,,,,,,,,,,,
,160700,2,5041.174695,,,,,,,,,,,,,,
,160701,2,5041.208062,,,,,,,,,,,,,,
,160702,2,5041.241429,,,,,,,,,,,,,,
,160703,2,5041.274795,,,,,,,,,,,,,,
,160704,2,5041.308162,,,,,,,,,,,,,,
,160705,2,5041.341529,,,,,,,,,,,,,,
,160706,2,5041.374896,,,,,,,,,,,,,,
,160707,2,5041.408262,,,,,,,,,,,,,,
,160708,2,5041.441629,,,,,,,,,,,,,,
,160709,2,5041.474996,,,,,,,,,,,,,,
,160710,2,5041.508362,,,,,,,,,,,,,,
,160711,2,5041.541729,,,,,,,,,,,,,,
,160712,2,5041.575096,,,,,,,,,,,,,,
,160713,2,5041.608462,,,,,,,,,,,,,,
,160714,2,5041.641829,,,,,,,,,,,,,,
,160715,2,5041.675196,,,,,,,,,,,,,,
,160716,2,5041.708563,,,,,,,,,,,,,,
,160717,2,5041.741929,,,,,,,,,,,,,,
,160718,2,5041.775296,,,,,,,,,,,,,,
,160719,2,5041.808663,,,,,,,,,,,,,,
,160720,2,5041.842029,,,,,,,,,,,,,,
,160721,2,5041.875396,,,,,,,,,,,,,,
,160722,2,5041.908763,,,,,,,,,,,,,,
,160723,2,5041.942129,,,,,,,,,,,,,,
,160724,2,5041.975496,,,,,,,,,,,,,,
,160725,2,5042.008863,,,,,,,,,,,,,,
,160726,2,5042.04223,,,,,,,,,,,,,,
,160727,2,5042.075596,,,,,,,,,,,,,,
,160728,2,5042.108963,,,,,,,,,,,,,,
,160729,2,5042.14233,,,,,,,,,,,,,,
,160730,2,5042.175696,,,,,,,,,,,,,,
,160731,2,5042.209063,,,,,,,,,,,,,,
,160732,2,5042.24243,6630187.0,,OTB,Netherlands,1.0,True,160732.0,160762.0,5363.096,5364.097,,,,
,160733,2,5042.275796,6630187.0,,OTB,Netherlands,1.0,True,160732.0,160762.0,5363.096,5364.097,,,,
,160734,2,5042.309163,6630187.0,,OTB,Netherlands,1.0,True,160732.0,160762.0,5363.096,5364.097,,,,
,160735,2,5042.34253,6630187.0,,OTB,Netherlands,1.0,True,160732.0,160762.0,5363.096,5364.097,,,,
,160736,2,5042.375897,6630187.0,,OTB,Netherlands,1.0,True,160732.0,160762.0,5363.096,5364.097,,,,
,160737,2,5042.409263,6630187.0,,OTB,Netherlands,1.0,True,160732.0,160762.0,5363.096,5364.097,,,,
